index,Data,Hora,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",region,state,station,station_code,latitude,longitude,height
97812,2018-09-18,10:00,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999.0,-9999.0,CO,MT,S.J. DO RIO CLARO,A903,-13.45,-56.66666666,350.0
45074,2014-02-23,02:00,0.0,938.6,938.6,938.1,-9999,21.5,20.3,21.7,21.5,20.5,20.2,93,92,93,327,3.1,0.9,CO,MT,SANTO ANTONIO DO LESTE,A931,-14.92777777,-53.8836111,648.0
8187,2016-08-13,05:00,0.0,932.6,933.1,932.6,-9999,17.6,9.3,19.4,17.6,9.7,8.9,60,51,58,112,1.6,0.3,CO,GO,GOIANIA,A002,-16.64277777,-49.21999999,770.0
10144,2008-04-11,03:00,0.0,-9999.0,-9999.0,-9999.0,-9999,22.4,19.4,23.9,22.4,20.1,19.2,83,79,83,132,2.2,1.8,CO,GO,GOIANIA,A002,-16.64277777,-49.21999999,770.0
320812,2011-05-07,04:00,0.0,977.1,977.3,977.1,-9999,25.7,22.1,26.5,25.6,22.3,21.4,82,74,81,192,1.7,0.3,CO,GO,ARAGARCAS,A013,-15.90583333,-52.24388888,347.0
273587,2010-08-13,11:00,0.0,936.4,936.4,935.8,304,18.5,9.3,18.6,14.6,9.3,7.4,63,51,55,288,0.0,0.0,CO,GO,CAIAPONIA,A023,-16.96666666,-51.81749999,737.0
315269,2019-03-25,05:00,0.2,962.9,963.6,962.9,-9999,23.3,22.6,23.5,23.2,22.9,22.6,97,96,96,139,0.0,0.0,CO,MT,BRASNORTE (NOVO MUNDO),A927,-12.52194443,-58.23138888,426.2
217799,2013-06-30,07:00,0.0,979.0,979.1,978.7,-9999,19.9,18.9,20.5,19.9,19.2,18.8,94,92,94,146,0.9,0.0,CO,MT,GUARANTA DO NORTE,A906,-9.95,-54.88333333,320.0
300863,2008-02-09,23:00,0.0,966.9,966.9,966.4,-9999,23.2,22.2,23.7,23.2,22.6,22.2,95,93,95,329,1.6,0.8,CO,MT,SINOP,A917,-11.98222221,-55.56583333,371.0
2413,2015-08-13,15:00,0.0,922.2,923.0,922.2,2970,27.7,7.1,27.8,25.9,8.3,6.2,31,27,27,72,12.2,4.9,CO,MT,ALTO TAQUARI,A934,-17.81555555,-53.28749999,875.0
